config,protocol,K0,R
"N(0,1) σ=0",forward_random,0.5,0.04894205224146201
"N(0,1) σ=0",forward_random,0.7291666666666666,0.06482064906506135
"N(0,1) σ=0",forward_random,0.9583333333333333,0.06565140124616253
"N(0,1) σ=0",forward_random,1.1875,0.06666504485142959
"N(0,1) σ=0",forward_random,1.4166666666666665,0.06819769098784209
"N(0,1) σ=0",forward_random,1.6458333333333333,0.07095080326637909
"N(0,1) σ=0",forward_random,1.875,0.07440276141618726
"N(0,1) σ=0",forward_random,2.1041666666666665,0.07813707344187748
"N(0,1) σ=0",forward_random,2.333333333333333,0.08821021764847509
"N(0,1) σ=0",forward_random,2.5625,0.8819860312706141
"N(0,1) σ=0",forward_random,2.7916666666666665,0.9214804427748297
"N(0,1) σ=0",forward_random,3.020833333333333,0.9385077478586406
"N(0,1) σ=0",forward_random,3.25,0.9494893175139325
"N(0,1) σ=0",forward_random,3.4791666666666665,0.9593553884272743
"N(0,1) σ=0",forward_random,3.708333333333333,0.9656537889532081
"N(0,1) σ=0",forward_random,3.9375,0.9704190953559901
"N(0,1) σ=0",forward_random,4.166666666666666,0.9741744425615844
"N(0,1) σ=0",forward_random,4.395833333333333,0.9772108653089624
"N(0,1) σ=0",forward_random,4.625,0.9797129345890596
"N(0,1) σ=0",forward_random,4.854166666666666,0.9818057878971552
"N(0,1) σ=0",forward_random,5.083333333333333,0.9835780583513892
"N(0,1) σ=0",forward_random,5.3125,0.9850945690358185
"N(0,1) σ=0",forward_random,5.541666666666666,0.9864039328917632
"N(0,1) σ=0",forward_random,5.770833333333333,0.9875433584581483
"N(0,1) σ=0",forward_random,6.0,0.9885418167717094
"N(0,1) σ=0",backward_locked,6.0,0.9885418167717094
"N(0,1) σ=0",backward_locked,5.770833333333333,0.9875433584581483
"N(0,1) σ=0",backward_locked,5.541666666666666,0.9864039328917632
"N(0,1) σ=0",backward_locked,5.3125,0.9850945690358186
"N(0,1) σ=0",backward_locked,5.083333333333333,0.9835780583513892
"N(0,1) σ=0",backward_locked,4.854166666666666,0.9818057878971552
"N(0,1) σ=0",backward_locked,4.625,0.9797129345890596
"N(0,1) σ=0",backward_locked,4.395833333333333,0.9772108653089624
"N(0,1) σ=0",backward_locked,4.166666666666666,0.9741744425615844
"N(0,1) σ=0",backward_locked,3.9375,0.9704190953559901
"N(0,1) σ=0",backward_locked,3.708333333333333,0.9656537889532081
"N(0,1) σ=0",backward_locked,3.4791666666666665,0.9593553884272743
"N(0,1) σ=0",backward_locked,3.25,0.9494893175139325
"N(0,1) σ=0",backward_locked,3.020833333333333,0.9385077478586406
"N(0,1) σ=0",backward_locked,2.7916666666666665,0.9214804427748297
"N(0,1) σ=0",backward_locked,2.5625,0.8819860312706143
"N(0,1) σ=0",backward_locked,2.333333333333333,0.08821021764847504
"N(0,1) σ=0",backward_locked,2.1041666666666665,0.07813707344187748
"N(0,1) σ=0",backward_locked,1.875,0.07440276141618721
"N(0,1) σ=0",backward_locked,1.6458333333333333,0.07095080326637909
"N(0,1) σ=0",backward_locked,1.4166666666666665,0.06819769098784209
"N(0,1) σ=0",backward_locked,1.1875,0.06666504485142963
"N(0,1) σ=0",backward_locked,0.9583333333333333,0.06565140124616253
"N(0,1) σ=0",backward_locked,0.7291666666666666,0.06482064906506135
"N(0,1) σ=0",backward_locked,0.5,0.06407455837484072
"N(0,1) σ=0",backward_continued,6.0,0.9885418167717094
"N(0,1) σ=0",backward_continued,5.770833333333333,0.9875433584581483
"N(0,1) σ=0",backward_continued,5.541666666666666,0.9864039328917632
"N(0,1) σ=0",backward_continued,5.3125,0.9850945690358186
"N(0,1) σ=0",backward_continued,5.083333333333333,0.9835780583513892
"N(0,1) σ=0",backward_continued,4.854166666666666,0.9818057878971552
"N(0,1) σ=0",backward_continued,4.625,0.9797129345890596
"N(0,1) σ=0",backward_continued,4.395833333333333,0.9772108653089624
"N(0,1) σ=0",backward_continued,4.166666666666666,0.9741744425615844
"N(0,1) σ=0",backward_continued,3.9375,0.9704190953559901
