rho,noise,spatial_lz,temporal_lz,spatial_lz_std,temporal_lz_std
0.05,0.0,0.017361111111111112,0.08196721311475409,0.0017361111111111119,0.0
0.05,0.05,0.10503472222222222,0.9836065573770492,0.0008680555555555525,0.0
0.05,0.1,0.10677083333333334,1.0,0.0026041666666666644,0.0
0.05,0.15000000000000002,0.11371527777777778,1.0,0.0008680555555555525,0.0
0.05,0.2,0.11458333333333334,1.0,0.005208333333333336,0.0
0.05,0.25,0.1189236111111111,1.0,0.0008680555555555594,0.0
0.05,0.30000000000000004,0.1154513888888889,1.0,0.0008680555555555594,0.0
0.05,0.35000000000000003,0.1171875,1.0,0.0008680555555555525,0.0
0.05,0.4,0.12152777777777778,1.0,0.0034722222222222238,0.0
0.05,0.45,0.1154513888888889,1.0,0.0026041666666666644,0.0
0.15,0.0,0.0642361111111111,0.9180327868852459,0.0034722222222222203,0.016393442622950838
0.15,0.05,0.1032986111111111,1.0,0.0008680555555555594,0.0
0.15,0.1,0.1076388888888889,1.0,0.0017361111111111119,0.0
0.15,0.15000000000000002,0.1154513888888889,1.0,0.006076388888888888,0.0
0.15,0.2,0.1189236111111111,1.0,0.0008680555555555594,0.0
0.15,0.25,0.11458333333333334,1.0,0.0017361111111111119,0.0
0.15,0.30000000000000004,0.11631944444444445,1.0,0.0017361111111111119,0.0
0.15,0.35000000000000003,0.11458333333333333,1.0,0.0,0.0
0.15,0.4,0.1189236111111111,1.0,0.0008680555555555594,0.0
0.15,0.45,0.11805555555555555,1.0,0.0,0.0
0.25,0.0,0.058159722222222224,0.9754098360655737,0.009548611111111108,0.024590163934426257
0.25,0.05,0.10677083333333334,1.0,0.0026041666666666644,0.0
0.25,0.1,0.109375,1.0,0.001736111111111105,0.0
0.25,0.15000000000000002,0.11197916666666666,1.0,0.0008680555555555594,0.0
0.25,0.2,0.1171875,1.0,0.0026041666666666713,0.0
0.25,0.25,0.11979166666666666,1.0,0.0017361111111111119,0.0
0.25,0.30000000000000004,0.1171875,1.0,0.0008680555555555525,0.0
0.25,0.35000000000000003,0.11631944444444445,1.0,0.0,0.0
0.25,0.4,0.11979166666666666,1.0,0.0017361111111111119,0.0
0.25,0.45,0.11631944444444445,1.0,0.0017361111111111119,0.0
0.35,0.0,0.05642361111111111,1.0,0.004340277777777776,0.0
0.35,0.05,0.10416666666666667,1.0,0.0034722222222222238,0.0
0.35,0.1,0.11197916666666666,1.0,0.0008680555555555594,0.0
0.35,0.15000000000000002,0.11284722222222222,1.0,0.0,0.0
0.35,0.2,0.11631944444444445,1.0,0.0,0.0
0.35,0.25,0.11631944444444445,1.0,0.005208333333333336,0.0
0.35,0.30000000000000004,0.11805555555555555,1.0,0.0,0.0
0.35,0.35000000000000003,0.1189236111111111,1.0,0.0008680555555555594,0.0
0.35,0.4,0.11805555555555555,1.0,0.0017361111111111119,0.0
0.35,0.45,0.11631944444444445,1.0,0.0,0.0
0.44999999999999996,0.0,0.058159722222222224,1.0,0.0008680555555555559,0.0
0.44999999999999996,0.05,0.10590277777777779,1.0,0.0017361111111111119,0.0
0.44999999999999996,0.1,0.11197916666666667,1.0,0.004340277777777776,0.0
0.44999999999999996,0.15000000000000002,0.11631944444444445,1.0,0.0,0.0
0.44999999999999996,0.2,0.11805555555555555,1.0,0.0017361111111111119,0.0
0.44999999999999996,0.25,0.12065972222222221,1.0,0.006076388888888888,0.0
0.44999999999999996,0.30000000000000004,0.1189236111111111,1.0,0.0008680555555555594,0.0
0.44999999999999996,0.35000000000000003,0.11631944444444445,1.0,0.0,0.0
0.44999999999999996,0.4,0.12065972222222222,1.0,0.0008680555555555525,0.0
0.44999999999999996,0.45,0.12065972222222222,1.0,0.0026041666666666713,0.0
0.5499999999999999,0.0,0.05295138888888889,0.9672131147540983,0.009548611111111112,0.03278688524590162
0.5499999999999999,0.05,0.1076388888888889,1.0,0.0017361111111111119,0.0
0.5499999999999999,0.1,0.10850694444444445,1.0,0.0026041666666666644,0.0
0.5499999999999999,0.15000000000000002,0.11631944444444445,1.0,0.0017361111111111119,0.0
0.5499999999999999,0.2,0.11458333333333333,1.0,0.0,0.0
0.5499999999999999,0.25,0.11458333333333333,1.0,0.0,0.0
0.5499999999999999,0.30000000000000004,0.1154513888888889,1.0,0.0008680555555555594,0.0
0.5499999999999999,0.35000000000000003,0.11631944444444445,1.0,0.0,0.0
0.5499999999999999,0.4,0.12152777777777778,1.0,0.0,0.0
0.5499999999999999,0.45,0.1189236111111111,1.0,0.0026041666666666644,0.0
0.65,0.0,0.0546875,0.9918032786885246,0.013020833333333332,0.008196721311475419
0.65,0.05,0.10590277777777778,1.0,0.0,0.0
0.65,0.1,0.1076388888888889,1.0,0.005208333333333336,0.0
0.65,0.15000000000000002,0.11631944444444445,1.0,0.0017361111111111119,0.0
0.65,0.2,0.11371527777777778,1.0,0.0026041666666666713,0.0
0.65,0.25,0.11197916666666666,1.0,0.0008680555555555594,0.0
0.65,0.30000000000000004,0.11805555555555555,1.0,0.0017361111111111119,0.0
0.65,0.35000000000000003,0.1189236111111111,1.0,0.0008680555555555594,0.0
0.65,0.4,0.12065972222222222,1.0,0.0008680555555555525,0.0
0.65,0.45,0.11631944444444445,1.0,0.0,0.0
0.75,0.0,0.015625,0.09836065573770492,0.0,0.0
0.75,0.05,0.0998263888888889,1.0,0.0026041666666666644,0.0
0.75,0.1,0.1111111111111111,1.0,0.0017361111111111119,0.0
0.75,0.15000000000000002,0.11371527777777778,1.0,0.0008680555555555525,0.0
0.75,0.2,0.11284722222222222,1.0,0.0034722222222222238,0.0
